"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Proporción de niñas con respecto a niños en educación primaria y secundaria (%)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.01191997528076","0.992659986019135","0.999490022659302","0.989000022411346","0.97706001996994","0.952910006046295","0.963389992713928","0.967980027198792","0.986760020256042","1.00560998916626","1.00443994998932","1.01460003852844","1.00871002674103","1.02155995368958","","","","","","","","","",
"","AFE","Proporción de niñas con respecto a niños en educación primaria y secundaria (%)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afganistán","AFG","Proporción de niñas con respecto a niños en educación primaria y secundaria (%)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","0.167199999094009","0.161200001835823","0.160840004682541","0.168740004301071","0.16695000231266","0.173899993300438","0.180629998445511","0.192279994487762","0.198829993605614","","","0.242229998111725","0.483579993247986","","0.469949990510941","0.476029992103577","0.530939996242523","","0.499659985303879","","","0.537060022354126","","0.361770004034042","0.432000011205673","0.474040001630783","","","","","","0","","0.544260025024414","0.40582001209259","0.547689974308014","0.573230028152466","0.567200005054474","0.586019992828369","0.609610021114349","0.625810027122498","0.663450002670288","0.669250011444092","0.655330002307892","0.654020011425018","0.6423299908638","0.645669996738434","0.641690015792847","0.636020004749298","","","",
"","AFW","Proporción de niñas con respecto a niños en educación primaria y secundaria (%)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Proporción de niñas con respecto a niños en educación primaria y secundaria (%)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.640190005302429","0.656719982624054","","","","","","","","","","0.826059997081757","0.787509977817535","","","","","","","","","","","","","","","0.819149971008301","","","","","","","","","","0.833090007305145","0.823400020599365","0.777629971504211","0.630320012569427","","","","","","","","","","",
"Albania","ALB","Proporción de niñas con respecto a niños en educación primaria y secundaria (%)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","0.922879993915558","","0.924769997596741","0.929279983043671","0.919539988040924","0.915809988975525","0.927450001239777","0.953499972820282","0.945689976215363","0.935949981212616","0.936429977416992","0.940090000629425","0.954760015010834","0.954240024089813","0.946529984474182","0.949710011482239","1.01279997825623","1.04384994506836","1.00525999069214","0.981710016727448","0.986419975757599","0.969780027866364","","0.968180000782013","0.976209998130798","0.987320005893707","","","0.980199992656708","0.978039979934692","0.985040009021759","0.99686998128891","0.999790012836456","1.01780998706818","1.00568997859955","1.00029003620148","0.990100026130676","0.98158997297287","0.976679980754852","0.982420027256012","0.993550002574921","1.00432002544403","1.01730000972748","1.018630027771","1.02399003505707","",
"Andorra","AND","Proporción de niñas con respecto a niños en educación primaria y secundaria (%)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","1.14892995357513","","","","","","","","1.02505004405975","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Proporción de niñas con respecto a niños en educación primaria y secundaria (%)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","0.618920028209686","0.617470026016235","0.623520016670227","0.63085001707077","0.638050019741058","0.642700016498566","0.65149998664856","0.66237998008728","0.671169996261597","0.691779971122742","0.703329980373383","0.715489983558655","0.7255499958992","0.733430027961731","0.740559995174408","0.749610006809235","0.758300006389618","0.767709970474243","0.771229982376099","0.782559990882874","0.793070018291473","0.799600005149841","0.813440024852753","0.821080029010773","0.824169993400574","0.837750017642975","0.822809994220734","0.846029996871948","0.857179999351501","0.868420004844666","0.877290010452271","0.886300027370453","0.895259976387024","0.903349995613098","0.90693998336792","0.913670003414154","0.917309999465942","0.920419991016388","0.923160016536713","0.924130022525787","0.926810026168823","0.926519989967346","0.933889985084534","0.935810029506683","0.940289974212646","0.944939970970154","0.942539989948273","0.9444500207901","0.948260009288788","0.949790000915527","","",
"Emiratos Árabes Unidos","ARE","Proporción de niñas con respecto a niños en educación primaria y secundaria (%)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","0.828800022602081","0.926050007343292","0.933759987354279","0.943620026111603","1.01362001895905","1.04809999465942","1.02908003330231","0.991550028324127","0.948769986629486","0.966000020503998","0.958289980888367","0.947870016098022","0.947380006313324","0.963689982891083","1.0040500164032","1.02540004253387","1.03708004951477","1.04027998447418","1.03668999671936","1.03692996501923","1.03583002090454","1.01996004581451","1.00590002536774","","1.03269994258881","1.04685997962952","","","","","","","","","","","","","","","","","","0.960950016975403","0.948279976844788","","0.994229972362518","1.01047003269196","",
"Argentina","ARG","Proporción de niñas con respecto a niños en educación primaria y secundaria (%)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","1.03383004665375","1.02473998069763","1.01195001602173","1.01377999782562","1.00782001018524","1.01061999797821","1.01223003864288","1.01851999759674","1.03182995319366","1.02099001407623","1.02439999580383","1.02277994155884","1.00916004180908","","1.01194000244141","1.02104997634888","1.00700998306274","1.0077600479126","1.04745995998383","","","","","","","","1.01927995681763","1.0210599899292","1.00899004936218","1.02296996116638","1.01586997509003","1.01778995990753","1.01810002326965","1.0220799446106","1.02778995037079","1.03299999237061","1.04022002220154","1.04638004302979","1.05000996589661","1.04753994941711","1.0359799861908","1.04019999504089","1.03461003303528","1.03136003017426","1.03122997283936","1.02838003635406","1.02081000804901","1.01962995529175","1.02131998538971","1.02056002616882","","",
